Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.2559E-07,-0.0014829,-0.034409,0,0,0,2.1947,0.0036797,-1.7403E-09,-1.2977E-09,0.0064143,-1.0658E-10,0.0083734,0,0,0,0,0,0,package://zhongxi_description/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://zhongxi_description/meshes/base_link.STL,,底盘-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
laser_link,0.0027419,3.7921E-05,0.0015518,0,0,0,0.092202,2.5005E-05,1.7158E-07,1.8006E-06,3.5759E-05,-3.316E-08,5.6292E-05,0,0,0,0,0,0,package://zhongxi_description/meshes/laser_link.STL,0,0,0,1,0,0,0,0,0,0,package://zhongxi_description/meshes/laser_link.STL,,YDLIDAR_X3-1,坐标系3,Axis_laser_joint,laser_joint,fixed,0.0549999999999995,0,0.117,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_link,-0.0063732,-5.0113E-06,-0.0014012,0,0,0,0.030127,7.8571E-06,7.293E-12,9.885E-09,3.6895E-06,5.3112E-10,5.329E-06,0,0,0,0,0,0,package://zhongxi_description/meshes/camera_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://zhongxi_description/meshes/camera_link.STL,,c100-1,坐标系2,Axis_camera_joint,camera_joint,fixed,0.1655,0,0.074,0,0,0,base_link,0,0,0,,,,,,,,,,,,
